,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
NAALADL1,4.005.835.674.987,-205.679.692.224.491,581.168.614.825.547,-353.907.088.197.168,401.538.018.750.847,221.651.427.311.068,FALSE
EPHA1,78.550.277.867.378,204.921.438.303.236,621.078.642.309.079,32.994.442.948.701,968.764.521.947.696,400.152.439.936.044,FALSE
GATA5,378.117.468.304.535,204.109.936.236.505,563.898.671.316.422,361.962.080.456.777,295.035.048.847.296,175.674.695.821.372,FALSE
TUBA4B,199.876.217.717.619,203.705.151.506.738,617.172.983.158.872,33.006.167.973.218,964.725.494.215.666,400.008.668.960.062,FALSE
BCAS1,389.420.886.318.485,203.389.530.213.585,540.603.601.541.527,376.226.739.210.804,168.379.886.104.638,117.162.724.580.319,FALSE
MGP,357.316.578.368.561,203.242.562.429.563,532.626.953.729.177,381.585.199.559.587,135.713.837.317.485,102.269.668.029.993,FALSE
CLDN4,275.635.391.953.868,203.151.951.540.383,551.831.300.997.132,368.141.406.935.956,231.943.963.648.702,145.755.512.935.089,FALSE
LINC01105,137.330.435.194.694,202.654.246.853.489,396.356.913.811.722,511.292.322.125.997,"3,17E+07","9,00E+09",FALSE
EMCN,202.402.990.100.779,201.409.800.342.525,389.980.860.081.822,516.460.731.688.903,"2,41E+07","7,54E+09",FALSE
RAB17,147.494.705.311.445,201.168.088.809.348,389.352.832.629.505,516.672.981.292.454,"2,38E+07","7,54E+09",FALSE
ESRP1,605.891.792.475.319,201.163.897.494.623,374.335.473.241.705,537.389.352.263.532,"7,71E+06","3,04E+09",FALSE
TINAGL1,511.216.882.342.399,201.131.401.096.953,362.122.363.169.531,555.423.860.974.836,"2,79E+06","1,41E+09",FALSE
ANXA8,231.327.411.800.404,201.032.525.027.398,49.040.153.189.052,409.934.537.219.753,"4,14E+09",425.111.427.146.302,FALSE
COL14A1,146.917.894.124.895,19.981.980.902.709,583.144.437.937.691,342.659.204.182.345,611.206.579.698.246,295.314.684.718.912,FALSE
TSPEAR,108.040.033.931.845,-199.355.858.692.025,516.507.260.357.596,-385.969.131.496.823,113.530.345.252.201,877.372.170.266.052,FALSE
CASQ2,106.209.696.616.092,198.718.957.588.307,605.810.861.816.541,328.021.450.444.852,103.728.188.510.646,418.623.918.120.409,FALSE
AXDND1,367.292.102.238.635,-198.566.291.738.573,490.747.289.174.722,-404.620.251.845.908,"5,21E+09",497.565.546.163.111,FALSE
MID1,920.628.860.250.702,-198.406.390.597.323,358.434.893.356.213,-553.535.367.998.189,"3,11E+06","1,52E+09",FALSE
KLRG2,54.003.796.446.597,198.070.888.514.531,609.612.822.630.635,324.912.602.165.756,115.760.181.427.624,442.593.822.085.701,FALSE
FHL2,216.512.303.840.246,198.009.852.671.006,456.265.291.480.667,433.979.652.557.894,"1,43E+09",200.777.185.080.113,FALSE
ALOX15,28.878.127.704.275,197.460.795.379.976,342.542.964.581.922,576.455.556.811.624,"8,19E+05","5,31E+08",FALSE
LGALS2,547.324.031.923.114,197.039.789.029.921,601.721.353.154.758,327.460.190.662.777,105.810.967.445.779,426.082.700.617.027,FALSE
CRYGS,16.662.988.689.008,196.683.638.536.533,482.859.867.106.863,407.330.681.083.512,"4,64E+09",465.065.084.678.226,FALSE
ADAD2,779.237.289.252.584,196.315.149.686.185,500.633.237.416.465,392.133.671.945.706,"8,81E+09",740.389.574.806.675,FALSE
MPZL2,284.185.958.752.201,195.148.629.017.632,584.366.082.322.314,333.949.274.129.834,839.315.443.823.248,359.500.183.379.104,FALSE
ELF3,143.061.685.883.203,19.119.638.817.371,575.626.429.684.851,332.153.595.307.269,895.234.477.793.167,377.223.975.665.933,FALSE
OLFML1,273.575.510.706.951,187.118.407.755.452,471.628.616.022.738,396.749.479.141.934,"7,26E+09",646.603.700.861.103,FALSE
CCBE1,177.690.914.089.483,186.362.868.365.918,505.961.607.909.163,36.833.401.082.751,230.197.695.762.604,145.666.214.381.347,FALSE
SPON2,434.362.770.788.654,182.826.941.952.913,534.768.281.713.422,341.880.676.556.072,628.963.754.936.889,298.240.489.645.139,FALSE
COL15A1,201.433.833.450.714,182.779.544.296.854,540.303.809.143.421,338.290.312.234.938,717.239.283.111.856,320.043.799.031.804,FALSE
MIR614,395.410.524.379.386,182.273.115.411.085,507.855.854.347.046,358.907.185.672.664,331.857.367.642.843,192.551.490.535.516,FALSE
